fips,COUNTY,FY2014,FY2013,FY2012,FY2011,abbr,pop2013,percapita
24001,ALLEGANY,61481,61390,62574,62512,AL,73521,0.836237266
24003,ANNE ARUNDEL,542768,538501,537670,533106,AA,555743,0.976652877
24005,BALTIMORE,680074,669201,669052,663514,BA,622104,1.093183776
24510,BALTIMORE CITY,303542,297990,289229,285394,BC,823015,0.368817093
24009,CALVERT,93322,92699,36728,91768,CV,90484,1.031364661
24011,CAROLINE,36019,35749,93222,36667,CA,32693,1.101734316
24013,CARROLL,178086,176281,177603,177125,CR,167564,1.062793918
24015,CECIL,94146,93408,95254,94563,CE,101913,0.923787937
24017,CHARLES,143729,141107,141965,140423,CH,152864,0.940240999
24019,DORCHESTER,32553,32056,32416,31672,DO,32660,0.996723821
24021,FREDERICK,231390,228442,230727,227672,FR,241409,0.958497819
24023,GARRETT,33231,32942,33459,33202,GA,29889,1.111813711
24025,HARFORD,236667,234421,236024,237096,HA,249215,0.949649901
24027,HOWARD,261320,258498,258164,255497,HO,304580,0.85796835
24029,KENT,21397,21191,21651,21397,KE,19944,1.072853991
24031,MONTGOMERY,763346,758413,755353,752503,MO,1016677,0.7508245
24033,PRINCE GEORGE'S,653111,640226,643710,633920,PG,890081,0.733765803
24035,QUEEN ANNE'S,53842,53259,54159,53938,QA,48517,1.109755343
24039,SOMERSET,108794,19495,20021,20382,SO,26273,4.140905112
24037,ST MARY'S,20125,107802,108276,105942,SM,109633,0.183566992
24041,TALBOT ,42110,41680,42344,42380,TA,37931,1.110173737
24043,WASHINGTON,137007,135787,137716,137204,WA,149588,0.91589566
24045,WICOMICO,87766,86735,87294,88153,WI,100896,0.869866001
24047,WORCESTER,56655,56148,57767,56627,WO,51620,1.097539713
