Name,PERCAPITA
"ARLINGTON COUNTY, VA",169779.71
"DISTRICT OF COLUMBIA",129750.37
"FAIRFAX COUNTY, VA",97161.37
"MANASSAS CITY, VA",78015.2
"ST. MARY'S COUNTY, MD",77219.08
"NEWPORT NEWS CITY, VA",71203.31
"ALEXANDRIA CITY, VA",54777.09
"NORFOLK CITY, VA",42948.92
"MONTGOMERY COUNTY, MD",36511.22
"LOUDOUN COUNTY, VA",32540.55
"HOWARD COUNTY, MD",25069.56
"HAMPTON CITY, VA",23229.86
"FREDERICK COUNTY, MD",23058.65
"PRINCE WILLIAM COUNTY, VA",22704.66
"HARFORD COUNTY, MD",22316.02
"PRINCE GEORGE'S COUNTY, MD",21670.04
"VIRGINIA BEACH CITY, VA",19447.85
"ANNE ARUNDEL COUNTY, MD",19123.1
"BALTIMORE COUNTY, MD",16304.92
"BALTIMORE CITY, MD",6739.23
